Tue Sep 14 2021 06:39:27 GMT+0300 (Moscow Standard Time) Ceiling: $0.46864009866409073
Tue Sep 14 2021 06:39:27 GMT+0300 (Moscow Standard Time) Bought for: $0.3867
Tue Sep 14 2021 06:39:27 GMT+0300 (Moscow Standard Time) Floor: $0.35995876104760277
Tue Sep 14 2021 06:39:30 GMT+0300 (Moscow Standard Time) New Price: $0.4106
Tue Sep 14 2021 06:39:31 GMT+0300 (Moscow Standard Time) New Price: $0.4113
Tue Sep 14 2021 06:39:35 GMT+0300 (Moscow Standard Time) New Price: $0.4121
Tue Sep 14 2021 06:39:35 GMT+0300 (Moscow Standard Time) New Price: $0.4118
Tue Sep 14 2021 06:39:39 GMT+0300 (Moscow Standard Time) New Price: $0.4123
Tue Sep 14 2021 06:39:40 GMT+0300 (Moscow Standard Time) New Price: $0.4118
Tue Sep 14 2021 06:39:40 GMT+0300 (Moscow Standard Time) New Price: $0.4127
Tue Sep 14 2021 06:39:42 GMT+0300 (Moscow Standard Time) New Price: $0.4118
Tue Sep 14 2021 06:39:42 GMT+0300 (Moscow Standard Time) New Price: $0.412
Tue Sep 14 2021 06:39:42 GMT+0300 (Moscow Standard Time) New Price: $0.4137
Tue Sep 14 2021 06:39:42 GMT+0300 (Moscow Standard Time) New Price: $0.412
Tue Sep 14 2021 06:39:49 GMT+0300 (Moscow Standard Time) New Price: $0.4118
Tue Sep 14 2021 06:39:51 GMT+0300 (Moscow Standard Time) New Price: $0.4114
Tue Sep 14 2021 06:39:51 GMT+0300 (Moscow Standard Time) New Price: $0.4111
Tue Sep 14 2021 06:39:52 GMT+0300 (Moscow Standard Time) New Price: $0.4109
Tue Sep 14 2021 06:39:53 GMT+0300 (Moscow Standard Time) New Price: $0.4105
Tue Sep 14 2021 06:39:53 GMT+0300 (Moscow Standard Time) New Price: $0.4106
Tue Sep 14 2021 06:39:53 GMT+0300 (Moscow Standard Time) New Price: $0.4102
Tue Sep 14 2021 06:39:53 GMT+0300 (Moscow Standard Time) New Price: $0.4097
Tue Sep 14 2021 06:39:53 GMT+0300 (Moscow Standard Time) New Price: $0.4098
Tue Sep 14 2021 06:39:54 GMT+0300 (Moscow Standard Time) New Price: $0.4097
Tue Sep 14 2021 06:39:58 GMT+0300 (Moscow Standard Time) New Price: $0.4096
Tue Sep 14 2021 06:40:00 GMT+0300 (Moscow Standard Time) New Price: $0.4093
Tue Sep 14 2021 06:40:14 GMT+0300 (Moscow Standard Time) New Price: $0.4092
Tue Sep 14 2021 06:40:20 GMT+0300 (Moscow Standard Time) New Price: $0.4087
Tue Sep 14 2021 06:40:29 GMT+0300 (Moscow Standard Time) New Price: $0.4086
Tue Sep 14 2021 06:40:30 GMT+0300 (Moscow Standard Time) New Price: $0.4084
Tue Sep 14 2021 06:40:31 GMT+0300 (Moscow Standard Time) New Price: $0.4083
Tue Sep 14 2021 06:40:31 GMT+0300 (Moscow Standard Time) New Price: $0.4081
